demontaz montaz lamp korytarz i salon|szt	Instalacja elektryczna i oświetlenie	szt	Demontaż i montaż lamp korytarz i salon [stary arkusz]
doprowadzenie peszla pod kabel swiatlowod|kpl	Instalacja elektryczna i oświetlenie	kpl	Doprowadzenie peszla pod kabel światłowodowy [stary arkusz]
doprowadzenie przewodu 3 fazowego|kpl	Instalacja elektryczna i oświetlenie	kpl	Doprowadzenie przewodu 3-fazowego [stary arkusz]
doprowadzenie przewodu 3 fazowego do rozdzielni, wniosek do e.on, wymiana bezpiecznika przedlicznikowego i przygotowanie instalacji|kpl	Instalacja elektryczna i oświetlenie	kpl	Doprowadzenie przewodu 3-fazowego do rozdzielni, wniosek do E.ON, wymiana bezpiecznika przedlicznikowego i przygotowanie instalacji
doprowadzenie przewodu 3 fazowego do rozdzielni, wniosek do e.on, wymiana bezpiecznika przedlicznikowego i przygotowanie instalacji|~	Instalacja elektryczna i oświetlenie	kpl	Doprowadzenie przewodu 3-fazowego do rozdzielni, wniosek do E.ON, wymiana bezpiecznika przedlicznikowego i przygotowanie instalacji [stary arkusz]
doprowadzenie przewodu 3 fazowego z montazem gniazda|kpl	Instalacja elektryczna i oświetlenie	kpl	Doprowadzenie przewodu 3-fazowego z montażem gniazda
kamery|szt	Instalacja elektryczna i oświetlenie	szt	Kamery [stary arkusz]
likwidacja punktu elektrycznego|szt	Instalacja elektryczna i oświetlenie	szt	Likwidacja punktu elektrycznego
lutowanie tasm ledowych|pkt	Instalacja elektryczna i oświetlenie	pkt	Lutowanie taśm LED
lutowanie tasm ledowych|kpl	Instalacja elektryczna i oświetlenie	kpl	Lutowanie taśm LED [stary arkusz]
lutowanie tasm ledowych i podlaczenie do trasformatora|pkt	Instalacja elektryczna i oświetlenie	pkt	Lutowanie taśm LED i podłączenie do transformatora [stary arkusz]
montaz czujnika termostatycznego ze sterownikiem do ogrzewania podlogowego|szt	Instalacja elektryczna i oświetlenie	szt	Montaż czujnika termostatycznego ze sterownikiem do ogrzewania podłogowego
montaz domofonu|szt	Instalacja elektryczna i oświetlenie	szt	Montaż domofonu [stary arkusz]
montaz gniazda tv i internet|szt	Instalacja elektryczna i oświetlenie	szt	Montaż gniazda TV i internet
montaz gniazdek i wylacznikow|szt	Instalacja elektryczna i oświetlenie	szt	Montaż gniazdek i wyłączników
montaz gniazdek i wylacznikow + lokalizacja|szt	Instalacja elektryczna i oświetlenie	szt	Montaż gniazdek i wyłączników + lokalizacja [stary arkusz]
montaz gniazdek i wylacznikow, gniazd tv|szt	Instalacja elektryczna i oświetlenie	szt	Montaż gniazdek i wyłączników, gniazd TV [stary arkusz]
montaz kanalu tv - wykucie i osadzenie + tynk - sciana niezelbetowa|szt	Instalacja elektryczna i oświetlenie	szt	Montaż kanału TV - wykucie i osadzenie + tynk - ściana nieżelbetowa
montaz kanalu tv - wykucie i osadzenie + tynk|szt	Instalacja elektryczna i oświetlenie	szt	Montaż kanału TV - wykucie i osadzenie + tynk [stary arkusz]
montaz kanalu tv|szt	Instalacja elektryczna i oświetlenie	szt	Montaż kanału TV [stary arkusz]
montaz kinkietow|szt	Instalacja elektryczna i oświetlenie	szt	Montaż kinkietów
